Feature,Is_Normal,Test_Used,Statistic,P_Value_Raw,P_Value_Adj,Significant
e_52,True,Welch's t-test,2.3098847556176505,0.021329180478009475,0.08190405303555638,False
e_47,False,Mann-Whitney U,41775.0,0.022935071429543603,0.08468334066293023,False
e_127,False,Mann-Whitney U,33304.0,0.022678056134367266,0.08468334066293023,False
e_145,True,Welch's t-test,-2.202091650996305,0.028094191055371157,0.09374275501269085,False
e_157,True,Welch's t-test,-2.199489237775503,0.028272542379014082,0.09374275501269085,False
e_140,True,Welch's t-test,-2.234401065060077,0.025879144995723344,0.09374275501269085,False
e_62,True,Welch's t-test,2.2137128648708733,0.02728752849431767,0.09374275501269085,False
e_112,True,Welch's t-test,-2.199186006996244,0.028318123910083693,0.09374275501269085,False
e_139,True,Welch's t-test,-2.2202863081007007,0.026863630868079892,0.09374275501269085,False
e_185,True,Welch's t-test,2.180158826988493,0.029700652195568403,0.09665296985676497,False
e_149,True,Welch's t-test,2.1643662753436117,0.0308879756298293,0.09884152201545376,False
e_168,False,Mann-Whitney U,41502.0,0.0333574627148957,0.1049939810042619,False
e_6,True,Welch's t-test,-2.11842151324623,0.03464573314398329,0.10729001231685147,False
e_60,True,Welch's t-test,-2.0923178228903336,0.036894053669589255,0.11243902070731963,False
e_53,False,Mann-Whitney U,33716.0,0.03965440967761865,0.11896322903285596,False
e_29,True,Welch's t-test,-2.0100869666896433,0.04494083074902164,0.13274830005864852,False
e_182,True,Welch's t-test,1.9782397829828755,0.04843899045116507,0.1395135800898164,False
e_164,True,Welch's t-test,-1.9759471838283964,0.04868442638550884,0.1395135800898164,False
e_173,False,Mann-Whitney U,33912.0,0.05094241160654662,0.1438373974773081,False
e_79,False,Mann-Whitney U,41053.0,0.05924384419257583,0.16485243601412405,False
e_184,False,Mann-Whitney U,34079.0,0.0625765708329929,0.1716385942847805,False
e_133,True,Welch's t-test,1.8559146743643093,0.06406137202486183,0.1732363863207531,False
e_166,True,Welch's t-test,1.7954087527243214,0.073156571959361,0.190723221972231,False
e_85,True,Welch's t-test,-1.7931658428670347,0.07350790846846403,0.190723221972231,False
e_80,False,Mann-Whitney U,40886.0,0.07239866394599576,0.190723221972231,False
e_126,False,Mann-Whitney U,40802.0,0.07986910899606876,0.2017745911479632,False
e_179,True,Welch's t-test,1.756015762838183,0.07968131730677626,0.2017745911479632,False
e_104,True,Welch's t-test,1.7486022461516588,0.08095279988034626,0.2018563321691751,False
e_70,True,Welch's t-test,1.7322408495079613,0.08382209022049436,0.2063312990042938,False
e_169,True,Welch's t-test,-1.6889404411805697,0.09182629284832926,0.22317276236555972,False
e_148,False,Mann-Whitney U,40658.0,0.09412390629337303,0.22589737510409524,False
e_64,True,Welch's t-test,1.6176761238826936,0.10635195063990009,0.2460189701549496,False
e_4,False,Mann-Whitney U,34519.0,0.10402379812346811,0.2460189701549496,False
e_37,True,Welch's t-test,-1.623180272825023,0.10521452796554175,0.2460189701549496,False
e_172,False,Mann-Whitney U,40531.0,0.10832643455547762,0.24760327898394885,False
e_22,True,Welch's t-test,1.5919190116152715,0.11201230010928738,0.25040403872055744,False
e_10,False,Mann-Whitney U,40499.0,0.11216014234358303,0.25040403872055744,False
e_186,True,Welch's t-test,1.5587833793595776,0.1196926088421034,0.26414920572050404,False
e_27,True,Welch's t-test,1.5445299009744888,0.12305360453833114,0.2684805917199952,False
e_12,True,Welch's t-test,1.5243386929776954,0.12806881713968388,0.27628329090808207,False
e_122,True,Welch's t-test,1.5046610966257823,0.1330079631302047,0.2837503213444367,False
e_156,False,Mann-Whitney U,34841.0,0.1463487976635066,0.30542357773253553,False
e_109,True,Welch's t-test,-1.4569653302795127,0.1457126731335181,0.30542357773253553,False
e_177,True,Welch's t-test,-1.4128835368018038,0.15829158012151937,0.32442593143344756,False
e_131,False,Mann-Whitney U,40165.0,0.1588335289309587,0.32442593143344756,False
e_161,True,Welch's t-test,1.3994379925277336,0.16229704580095772,0.32801087151351455,False
e_123,True,Welch's t-test,-1.381994062351961,0.16760047042690393,0.33520094085380786,False
e_165,True,Welch's t-test,-1.3105969415833958,0.19056758323156422,0.3733568977597993,False
e_19,False,Mann-Whitney U,39983.0,0.18980188823790467,0.3733568977597993,False
e_68,True,Welch's t-test,-1.298386056310841,0.1947609024026994,0.3777181137506897,False
e_24,True,Welch's t-test,1.2903209035758079,0.19754828397496807,0.37929270523193864,False
e_134,True,Welch's t-test,-1.2671592009764954,0.20568296998782543,0.3910012894818068,False
e_175,True,Welch's t-test,-1.26059683573511,0.20800523896503478,0.39153927334594785,False
e_81,False,Mann-Whitney U,35277.0,0.22316184292061192,0.4049658803097545,False
e_75,True,Welch's t-test,1.2257514207734423,0.22086389298786796,0.4049658803097545,False
e_132,True,Welch's t-test,-1.2185292987091199,0.223574913087677,0.4049658803097545,False
e_159,True,Welch's t-test,1.2203075974190634,0.22289668349882474,0.4049658803097545,False
e_44,False,Mann-Whitney U,39793.0,0.2266533958971918,0.40670515899309184,False
e_72,True,Welch's t-test,-1.1711377686037179,0.24207607197730788,0.426868725923822,False
e_17,True,Welch's t-test,-1.170474233756697,0.2423369329463365,0.426868725923822,False
e_11,True,Welch's t-test,-1.1574277089492084,0.2476132441862245,0.4315199394937826,False
e_35,True,Welch's t-test,-1.152914644099866,0.24947246501984305,0.4315199394937826,False
e_162,True,Welch's t-test,-1.0911710342629537,0.2756831697597535,0.4725997195881488,False
e_34,True,Welch's t-test,-1.0673452189005288,0.28633907589630736,0.4865230316114249,False
e_89,True,Welch's t-test,-1.0513701030404,0.293589896783737,0.49105144101764836,False
e_151,True,Welch's t-test,-1.0501704279716513,0.2941193526928623,0.49105144101764836,False
