Feature,AUC,Max_Accuracy,Precision_at_Max_Acc,Best_Threshold
e_133,0.5453407380771639,0.5887681159420289,0.593607305936073,-6.403626
e_60,0.5429568367360529,0.5887681159420289,0.582995951417004,-1.5889814
e_49,0.5033494479736839,0.5887681159420289,0.5773584905660377,-26.133402
e_39,0.597640070851146,0.5869565217391305,0.6694560669456067,19.12965
e_124,0.5690332547578143,0.5869565217391305,0.5910112359550562,-26.393997
e_155,0.5541838134430727,0.5869565217391305,0.5841995841995842,-22.00733
e_120,0.5842955504947595,0.5851449275362319,0.615606936416185,1.4694538
e_61,0.576797581472159,0.5851449275362319,0.5980392156862745,-16.322523
e_112,0.5516001438331536,0.5851449275362319,0.5819672131147541,-21.113613
e_79,0.5467391159588211,0.5851449275362319,0.5900900900900901,-7.377161
e_184,0.5461398111523966,0.5851449275362319,0.5938967136150235,-20.334238
e_24,0.5340072182934463,0.5851449275362319,0.5921658986175116,-12.913793
e_44,0.5299585813789337,0.5851449275362319,0.5904977375565611,-21.568766
e_66,0.5228201952401881,0.5851449275362319,0.5851063829787234,-30.226929
e_69,0.5134310866062035,0.5851449275362319,0.5787401574803149,-39.44454
e_8,0.5019510700920267,0.5851449275362319,0.5793650793650794,-35.497738
e_125,0.5610558418900742,0.5833333333333334,0.6094182825484764,-2.2426243
e_168,0.5527188461384793,0.5833333333333334,0.5791583166332666,-21.259815
e_126,0.5433963269274309,0.5833333333333334,0.5989974937343359,-14.739716
e_70,0.5423575319296283,0.5833333333333334,0.598014888337469,5.218551
e_68,0.5382289877075925,0.5833333333333334,0.5766990291262136,-25.545654
e_129,0.5249910104279036,0.5833333333333334,0.5879732739420935,-17.142683
e_30,0.5232730033161532,0.5833333333333334,0.5807770961145194,-21.697285
e_96,0.5195706314009083,0.5833333333333334,0.5752380952380952,-38.28711
e_65,0.5164009748691518,0.5833333333333334,0.5782178217821782,-13.462217
e_25,0.5110338673805053,0.5833333333333334,0.5772994129158513,-17.03357
e_77,0.5832967091507184,0.5815217391304348,0.672566371681416,5.435817
e_84,0.5792880258899676,0.5815217391304348,0.5946601941747572,-20.960543
e_118,0.5610158882363125,0.5815217391304348,0.5894495412844036,-2.578734
e_47,0.5563546286307883,0.5815217391304348,0.5928571428571429,5.0070133
e_41,0.5502284017206707,0.5815217391304348,0.5829787234042553,4.489154
e_12,0.5420778563532969,0.5815217391304348,0.5878378378378378,-17.725681
e_19,0.5324889794505041,0.5815217391304348,0.5792682926829268,-19.248804
e_75,0.5264959313862586,0.5815217391304348,0.5799180327868853,-27.130342
e_117,0.5127385566076684,0.5815217391304348,0.5724907063197026,-41.82344
e_29,0.5522527201779269,0.5797101449275363,0.5849889624724062,-25.178297
e_80,0.5445150292327567,0.5797101449275363,0.5725047080979284,-40.954384
e_172,0.5397871802042964,0.5797101449275363,0.5753424657534246,-14.809728
e_186,0.5320095356053645,0.5797101449275363,0.5756385068762279,-25.156641
e_174,0.5250709177354269,0.5797101449275363,0.5784114052953157,-20.744734
e_163,0.5245914738902873,0.5797101449275363,0.58004158004158,-16.59287
e_33,0.5086632839239815,0.5797101449275363,0.5807127882599581,-17.84833
e_87,0.5075845352724173,0.5797101449275363,0.5790554414784395,-15.3470335
e_135,0.5880645118329404,0.5778985507246377,0.6366906474820144,6.6354294
e_2,0.5559417742085846,0.5778985507246377,0.580168776371308,-9.176441
e_140,0.5556354628630789,0.5778985507246377,0.5837004405286343,-14.387661
e_185,0.5471919240347862,0.5778985507246377,0.5811965811965812,-16.3776
e_4,0.5402799419340233,0.5778985507246377,0.5879629629629629,-23.011404
e_23,0.5636261936154061,0.5760869565217391,0.5939849624060151,-6.665645
e_62,0.55476980036491,0.5760869565217391,0.5827814569536424,-6.991384
e_64,0.545660367307257,0.5760869565217391,0.5730994152046783,-23.35088
e_179,0.5427304326980702,0.5760869565217391,0.5745526838966203,-22.757206
e_189,0.5218879433190832,0.5760869565217391,0.5757575757575758,-22.070017
e_59,0.521182095435961,0.5760869565217391,0.5725338491295938,-41.10566
e_57,0.5195839492854954,0.5760869565217391,0.5739644970414202,-14.537251
e_116,0.507251588157737,0.5760869565217391,0.5698324022346368,-37.354774
e_115,0.5064658329670915,0.5760869565217391,0.5736738703339882,-20.435326
e_138,0.5034959447041432,0.5760869565217391,0.5719769673704415,-26.14101
e_76,0.5692862945649713,0.5742753623188406,0.5780590717299579,-21.000013
e_157,0.5522793559471013,0.5742753623188406,0.5797413793103449,-11.640275
e_53,0.5509742032575546,0.5742753623188406,0.5840909090909091,-17.071383
e_78,0.5504681236432405,0.5742753623188406,0.5737051792828686,-19.34115
e_10,0.5393610078975055,0.5742753623188406,0.6039325842696629,2.6585531
e_31,0.5159881204469482,0.5742753623188406,0.5711538461538461,-24.555916
e_102,0.5119927550707846,0.5742753623188406,0.5708812260536399,-34.45563
e_9,0.5110338673805053,0.5742753623188406,0.5717054263565892,-37.84298
e_105,0.505427037969289,0.5742753623188406,0.5848623853211009,-25.935898
e_63,0.5647182601515575,0.572463768115942,0.5717092337917485,-32.918648
e_145,0.5582457682421724,0.572463768115942,0.5953002610966057,0.51410127
e_173,0.548363897878461,0.572463768115942,0.5910224438902744,-19.525747
e_169,0.5432897838507331,0.572463768115942,0.5802197802197803,-12.149288
e_161,0.5395075046279649,0.572463768115942,0.5755693581780539,-13.192678
e_22,0.5387883388602555,0.572463768115942,0.5697896749521989,-28.69624
e_166,0.5357385432897839,0.572463768115942,0.5812917594654788,-24.466337
e_81,0.5301849854169164,0.572463768115942,0.5669724770642202,-23.528702
e_101,0.5195306777471467,0.572463768115942,0.5703275529865125,-31.82821
e_18,0.518105664096315,0.572463768115942,0.5689981096408318,-28.113806
e_55,0.5114733575718833,0.572463768115942,0.5695238095238095,-26.224318
e_58,0.510208158536098,0.572463768115942,0.5682242990654206,-36.15635
e_149,0.5536644159441715,0.5706521739130435,0.5743801652892562,-14.601988
e_123,0.5400269021268662,0.5706521739130435,0.5705882352941176,-34.16667
e_104,0.5357784969435455,0.5706521739130435,0.566420664206642,-42.7103
e_34,0.534433390600237,0.5706521739130435,0.5753138075313807,-26.05145
e_14,0.5300384886864571,0.5706521739130435,0.573170731707317,-16.130014
e_122,0.524951056774142,0.5706521739130435,0.5700389105058365,-25.58625
e_103,0.523379546392851,0.5706521739130435,0.5705882352941176,-26.160849
e_167,0.5196239029392572,0.5706521739130435,0.573469387755102,-8.586856
e_35,0.5181189819809021,0.5706521739130435,0.5684410646387833,-29.238598
e_113,0.5171334585214484,0.5706521739130435,0.5714285714285714,-27.966568
e_50,0.507944118156272,0.5706521739130435,0.5703125,-38.485348
